ID;НАЗВАНИЕ;ПОЛНОЕ_НАЗВАНИЕ;ОПИСАНИЕ;ЦЕНА;КАТЕГОРИЯ;ХАРАКТЕРИСТИКИ;ПРЕИМУЩЕСТВА;ИНСТРУКЦИЯ_МОНТАЖА;ОСНОВНОЕ_ИЗОБРАЖЕНИЕ;ИЗОБРАЖЕНИЯ_ПРИМЕНЕНИЯ
luk-lm;Люк - ЛМ;Для газона, сада, септика </br> ;( легкий малогабаритный / садовый );1040;1;;;;/img/products/luk-lm/1.jpg;
luk-l;Люк - Л;Для тротуара, пешеходной зоны;( легкий );1470;1;;;;/img/products/luk-l/2.jpg;
13;Люк - ЛУ;Для нагруженных пешеходных зон;( легкий усиленный );2100;1;;;;/img/products/luk-lu/1.webp;
luk-c;Люк - С ;Для парковок, дворовых проездов, легкого транспорта;( средний );2100;1;;;;/img/products/luk-m/1.webp;
luk-t;Люк - Т ;Для дорог, промышленных зон, тяжелого транспорта;( тяжелый );2400;1;;;;/img/products/luk-h/1.webp;
konus-luk-lm; КОНУС-ЛЮК;для установки на бетонные кольца ;(ПОЛИМЕРНО-ПЕСЧАНЫЙ КОНУС-ЛЮК);2100;1;;;;/img/products/konusniy-perehodnik-smotrovogo-kolodca/5.jpg;
luk-c-logotipom;Люк с логотипом;Для вашей рекламы на люке ;ПОЛИМЕРНО-ПЕСЧАНЫЙ с логотипом;2800;1;;;;/img/products/luk-gts/1.jpg;
lyuk-s-zapornym-ustroistvom;Люк с ЗЗУ;для защиты колодцев, инженерных сетей ;Полимерпесчаный люк с запорным устройством;3000;1;;;;/img/products/lyuk-s-zapornym-ustroistvom/2.webp;
333-polimerpeschanaya-plitka-na-8-kirpichey;плитка Полимерно - песчаная ;для благоустройства территории;;180;2;;;;/img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/1.jpg;/img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/1.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/2.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/3.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/4.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/5.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/6.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/7.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/8.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/9.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/10.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/11.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/12.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/13.webp
polimerpeschaniy-bordyur-porebrik;поребрик, бордюр Полимерно - песчаный ;для благоустройства территории;;260;2;;;;/img/products/parebrik/1.webp;
polimerpeschaniy-livneviy-lotok; водоотвод Полимерно - песчаный  ;для водоотведения;;210;2;;;;/img/products/vodootvod/2.webp;
kolco-smotrovogo-kolodca;Кольцо смотрового колодца;Кольцо смотрового колодца;;1800;3;;;;/img/products/kolco-smotrovogo-kolodca/1.jpg;
dno-smotrovogo-kolodca;Дно смотрового колодца;Дно смотрового колодца;;2100;3;;;;/img/products/dno-smotrovogo-kolodca/3.jpg;